City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
625,Anadyr,RU,64.75,177.4833,-21.5,74,40,4.47,scattered clouds
626,Acarau,BR,-2.8856,-40.12,83.86,68,71,13.73,broken clouds
627,San Rafael Del Sur,NI,11.8485,-86.4384,74.37,69,12,10.47,few clouds
628,Egvekinot,RU,66.3167,-179.1667,-20.22,84,100,4.72,overcast clouds
629,Kousseri,CM,12.0769,15.0306,105.76,6,10,14.97,clear sky
630,Irbit,RU,57.6705,63.071,16.48,78,100,11.43,overcast clouds
631,San Juan,AR,-31.5375,-68.5364,83.93,39,0,1.01,clear sky
632,Barra Do Corda,BR,-5.5,-45.25,83.52,74,61,3.31,broken clouds
633,Bad Camberg,DE,50.3,8.2667,53.49,53,6,8.81,clear sky
634,Llangefni,GB,53.2556,-4.3106,44.46,65,75,9.22,broken clouds
635,Kadirli,TR,37.3739,36.0961,75.45,32,100,7.94,overcast clouds
636,Amparafaravola,MG,-17.5833,48.2167,79.02,69,99,6.2,light rain
637,Behbahan,IR,30.5959,50.2417,74.98,28,0,6.89,clear sky
638,Husavik,IS,66.0449,-17.3389,37.63,89,100,8.7,overcast clouds
639,Dubbo,AU,-32.25,148.6167,73.53,53,0,10.36,clear sky
640,Katobu,ID,-4.9408,122.5276,75.09,92,99,5.19,overcast clouds
641,Salinas,US,36.6777,-121.6555,40.14,77,0,8.05,clear sky
642,Riyadh,SA,24.6877,46.7219,80.74,16,5,3.85,clear sky
643,Opuwo,NA,-18.0607,13.84,87.04,29,74,9.46,broken clouds
644,Wum,CM,6.3833,10.0667,94.75,16,93,10.8,overcast clouds
645,Ust-Koksa,RU,50.2696,85.6108,23.11,76,89,1.61,overcast clouds
646,Marantao,PH,7.95,124.2333,68.65,97,100,4.65,overcast clouds
647,Belmonte,BR,-15.8631,-38.8828,83.68,61,28,6.49,scattered clouds
648,Vestmanna,FO,62.1564,-7.1664,43.72,81,75,3.44,broken clouds
649,Severobaykalsk,RU,55.65,109.3167,22.69,97,100,3.15,light snow
650,Carutapera,BR,-1.195,-46.02,79.27,91,100,7.87,overcast clouds
651,Mogadouro,PT,41.3403,-6.7119,48.25,42,0,3.74,clear sky
652,Caravelas,BR,-17.7125,-39.2481,85.68,55,0,7.43,clear sky
